data_id,sensor_id,sensor_name,timestamp,measurement_type,value
14184,446400105,ACS712 Hall Effect Sensor,1751013662,current,0.03
14185,446400105,ACS712 Hall Effect Sensor,1751013665,current,0.06
14186,446400105,ACS712 Hall Effect Sensor,1751013667,current,0.07
14187,446400105,ACS712 Hall Effect Sensor,1751013669,current,0.04
14188,446400105,ACS712 Hall Effect Sensor,1751013672,current,0.1
14189,446400105,ACS712 Hall Effect Sensor,1751013674,current,0.06
14190,446400105,ACS712 Hall Effect Sensor,1751013676,current,0.04
14191,446400105,ACS712 Hall Effect Sensor,1751013681,current,0.06
14192,446400105,ACS712 Hall Effect Sensor,1751013688,current,0.04
14193,446400105,ACS712 Hall Effect Sensor,1751013693,current,0.08
14194,446400105,ACS712 Hall Effect Sensor,1751013695,current,0.08
14195,446400105,ACS712 Hall Effect Sensor,1751013698,current,0.06
14196,446400105,ACS712 Hall Effect Sensor,1751013700,current,0.06
14197,446400105,ACS712 Hall Effect Sensor,1751013709,current,0.07
14198,446400105,ACS712 Hall Effect Sensor,1751013714,current,0.05
14199,446400105,ACS712 Hall Effect Sensor,1751013719,current,0.05
14200,446400105,ACS712 Hall Effect Sensor,1751013721,current,0.08
14201,446400105,ACS712 Hall Effect Sensor,1751013736,current,0.07
14202,446400105,ACS712 Hall Effect Sensor,1751013739,current,0.06
14203,446400105,ACS712 Hall Effect Sensor,1751013743,current,0.05
14204,446400105,ACS712 Hall Effect Sensor,1751013748,current,0.07
14205,446400105,ACS712 Hall Effect Sensor,1751013750,current,0.09
14206,446400105,ACS712 Hall Effect Sensor,1751013755,current,0.35
14207,446400105,ACS712 Hall Effect Sensor,1751013757,current,0.07
14208,446400105,ACS712 Hall Effect Sensor,1751013759,current,0.05
14209,446400105,ACS712 Hall Effect Sensor,1751013762,current,0.04
14210,446400105,ACS712 Hall Effect Sensor,1751013766,current,0.2
14211,446400105,ACS712 Hall Effect Sensor,1751013769,current,0.14
14212,446400105,ACS712 Hall Effect Sensor,1751013773,current,0.05
14213,446400105,ACS712 Hall Effect Sensor,1751013780,current,0.06
14214,446400105,ACS712 Hall Effect Sensor,1751013783,current,0.06
14215,446400105,ACS712 Hall Effect Sensor,1751013785,current,0.05
14216,446400105,ACS712 Hall Effect Sensor,1751013787,current,0.07
14217,446400105,ACS712 Hall Effect Sensor,1751013789,current,0.06
14218,446400105,ACS712 Hall Effect Sensor,1751013794,current,0.06
14219,446400105,ACS712 Hall Effect Sensor,1751013796,current,0.05
14220,446400105,ACS712 Hall Effect Sensor,1751013799,current,0.06
14221,446400105,ACS712 Hall Effect Sensor,1751013813,current,0.06
14222,446400105,ACS712 Hall Effect Sensor,1751013815,current,0.07
14223,446400105,ACS712 Hall Effect Sensor,1751013817,current,0.05
14224,446400105,ACS712 Hall Effect Sensor,1751013823,current,0.07
14225,446400105,ACS712 Hall Effect Sensor,1751013825,current,0.05
14226,446400105,ACS712 Hall Effect Sensor,1751013827,current,0.07
14227,446400105,ACS712 Hall Effect Sensor,1751013830,current,0.04
14228,446400105,ACS712 Hall Effect Sensor,1751013832,current,0.05
14229,446400105,ACS712 Hall Effect Sensor,1751013834,current,0.05
14230,446400105,ACS712 Hall Effect Sensor,1751013837,current,0.05
14231,446400105,ACS712 Hall Effect Sensor,1751013839,current,0.05
14232,446400105,ACS712 Hall Effect Sensor,1751013844,current,0.06
14233,446400105,ACS712 Hall Effect Sensor,1751013848,current,0.05
14234,446400105,ACS712 Hall Effect Sensor,1751013855,current,0.06
14235,446400105,ACS712 Hall Effect Sensor,1751013858,current,0.05
14236,446400105,ACS712 Hall Effect Sensor,1751013862,current,0.05
14237,446400105,ACS712 Hall Effect Sensor,1751013867,current,0.04
14238,446400105,ACS712 Hall Effect Sensor,1751013869,current,0.05
14239,446400105,ACS712 Hall Effect Sensor,1751013874,current,0.06
14240,446400105,ACS712 Hall Effect Sensor,1751013889,current,0.07
14241,446400105,ACS712 Hall Effect Sensor,1751013893,current,0.05
14242,446400105,ACS712 Hall Effect Sensor,1751013900,current,0.04
14243,446400105,ACS712 Hall Effect Sensor,1751013905,current,0.06
14244,446400105,ACS712 Hall Effect Sensor,1751013910,current,0.04
14245,446400105,ACS712 Hall Effect Sensor,1751013917,current,0.04
14246,446400105,ACS712 Hall Effect Sensor,1751013919,current,0.05
14247,446400105,ACS712 Hall Effect Sensor,1751013928,current,0.07
14248,446400105,ACS712 Hall Effect Sensor,1751013931,current,0.11
14249,446400105,ACS712 Hall Effect Sensor,1751013933,current,0.19
14250,446400105,ACS712 Hall Effect Sensor,1751013938,current,0.05
14251,446400105,ACS712 Hall Effect Sensor,1751013942,current,0.04
14252,446400105,ACS712 Hall Effect Sensor,1751013945,current,0.06
14253,446400105,ACS712 Hall Effect Sensor,1751013950,current,0.06
14254,446400105,ACS712 Hall Effect Sensor,1751013955,current,0.18
14255,446400105,ACS712 Hall Effect Sensor,1751013959,current,0.05
14256,446400105,ACS712 Hall Effect Sensor,1751013964,current,0.07
14257,446400105,ACS712 Hall Effect Sensor,1751013969,current,0.07
14258,446400105,ACS712 Hall Effect Sensor,1751013971,current,0.11
14259,446400105,ACS712 Hall Effect Sensor,1751013973,current,0.04
14260,446400105,ACS712 Hall Effect Sensor,1751013983,current,0.18
14261,446400105,ACS712 Hall Effect Sensor,1751013990,current,0.05
14262,446400105,ACS712 Hall Effect Sensor,1751013994,current,0.11
14263,446400105,ACS712 Hall Effect Sensor,1751013999,current,0.04
14264,446400105,ACS712 Hall Effect Sensor,1751014006,current,0.2
14265,446400105,ACS712 Hall Effect Sensor,1751014008,current,0.06
14266,446400105,ACS712 Hall Effect Sensor,1751014013,current,0.05
14267,446400105,ACS712 Hall Effect Sensor,1751014016,current,0.06
14268,446400105,ACS712 Hall Effect Sensor,1751014020,current,0.06
14269,446400105,ACS712 Hall Effect Sensor,1751014023,current,0.06
14270,446400105,ACS712 Hall Effect Sensor,1751014030,current,0.18
14271,446400105,ACS712 Hall Effect Sensor,1751014032,current,0.05
14272,446400105,ACS712 Hall Effect Sensor,1751014034,current,0.06
14273,446400105,ACS712 Hall Effect Sensor,1751014037,current,0.09
14274,446400105,ACS712 Hall Effect Sensor,1751014053,current,0.07
14275,446400105,ACS712 Hall Effect Sensor,1751014064,current,0.1
14276,446400105,ACS712 Hall Effect Sensor,1751014071,current,0.06
14277,446400105,ACS712 Hall Effect Sensor,1751014073,current,0.06
14278,446400105,ACS712 Hall Effect Sensor,1751014122,current,0.26
14279,446400105,ACS712 Hall Effect Sensor,1751014125,current,0.26
14280,446400105,ACS712 Hall Effect Sensor,1751014127,current,0.27
14281,446400105,ACS712 Hall Effect Sensor,1751014130,current,0.29
14282,446400105,ACS712 Hall Effect Sensor,1751014137,current,0.27
14283,446400105,ACS712 Hall Effect Sensor,1751014145,current,0.39
14284,446400105,ACS712 Hall Effect Sensor,1751014147,current,0.27
14285,446400105,ACS712 Hall Effect Sensor,1751014150,current,0.26
14286,446400105,ACS712 Hall Effect Sensor,1751014152,current,0.27
14287,446400105,ACS712 Hall Effect Sensor,1751014155,current,0.27
