data_id,sensor_name,timestamp,measurement_type,value
7472,Photoresistor Sensor,1749289152,voltage,0.68
7473,Photoresistor Sensor,1749289154,light_value,857.0
7473,Photoresistor Sensor,1749289154,voltage,0.69
7474,Photoresistor Sensor,1749289156,light_value,811.0
7474,Photoresistor Sensor,1749289156,voltage,0.65
7475,Photoresistor Sensor,1749289159,light_value,788.0
7475,Photoresistor Sensor,1749289159,voltage,0.64
7476,Photoresistor Sensor,1749289161,light_value,877.0
7476,Photoresistor Sensor,1749289161,voltage,0.71
7477,Photoresistor Sensor,1749289163,light_value,870.0
7477,Photoresistor Sensor,1749289163,voltage,0.7
7478,Photoresistor Sensor,1749289166,light_value,867.0
7478,Photoresistor Sensor,1749289166,voltage,0.7
7479,Photoresistor Sensor,1749289168,light_value,586.0
7479,Photoresistor Sensor,1749289168,voltage,0.47
7480,Photoresistor Sensor,1749289170,light_value,576.0
7480,Photoresistor Sensor,1749289170,voltage,0.46
7481,Photoresistor Sensor,1749289173,light_value,547.0
7481,Photoresistor Sensor,1749289173,voltage,0.44
7482,Photoresistor Sensor,1749289175,light_value,592.0
7482,Photoresistor Sensor,1749289175,voltage,0.48
7483,Photoresistor Sensor,1749289178,light_value,566.0
7483,Photoresistor Sensor,1749289178,voltage,0.46
7484,Photoresistor Sensor,1749289180,light_value,586.0
7484,Photoresistor Sensor,1749289180,voltage,0.47
7485,Photoresistor Sensor,1749289183,light_value,566.0
7485,Photoresistor Sensor,1749289183,voltage,0.46
7486,Photoresistor Sensor,1749289185,light_value,560.0
7486,Photoresistor Sensor,1749289185,voltage,0.45
7487,Photoresistor Sensor,1749289187,light_value,902.0
7487,Photoresistor Sensor,1749289187,voltage,0.73
7488,Photoresistor Sensor,1749289190,light_value,881.0
7488,Photoresistor Sensor,1749289190,voltage,0.71
7489,Photoresistor Sensor,1749289192,light_value,907.0
7489,Photoresistor Sensor,1749289192,voltage,0.73
7490,Photoresistor Sensor,1749289195,light_value,909.0
7490,Photoresistor Sensor,1749289195,voltage,0.73
7491,Photoresistor Sensor,1749289197,light_value,940.0
7491,Photoresistor Sensor,1749289197,voltage,0.76
7492,Photoresistor Sensor,1749289199,light_value,752.0
7492,Photoresistor Sensor,1749289199,voltage,0.61
7493,Photoresistor Sensor,1749289202,light_value,746.0
7493,Photoresistor Sensor,1749289202,voltage,0.6
7494,Photoresistor Sensor,1749289204,light_value,736.0
7494,Photoresistor Sensor,1749289204,voltage,0.59
7495,Photoresistor Sensor,1749289207,light_value,911.0
7495,Photoresistor Sensor,1749289207,voltage,0.73
7496,Photoresistor Sensor,1749289209,light_value,897.0
7496,Photoresistor Sensor,1749289209,voltage,0.72
7497,Photoresistor Sensor,1749289211,light_value,912.0
7497,Photoresistor Sensor,1749289211,voltage,0.73
7498,Photoresistor Sensor,1749289214,light_value,746.0
7498,Photoresistor Sensor,1749289214,voltage,0.6
7499,Photoresistor Sensor,1749289216,light_value,720.0
7499,Photoresistor Sensor,1749289216,voltage,0.58
7500,Photoresistor Sensor,1749289219,light_value,758.0
